label,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9
1,1,1,1,1,-1,-1,1,-1,-1
1,1,1,1,1,-1,-1,-1,1,-1
1,1,1,1,1,-1,-1,-1,-1,1
1,1,1,1,1,-1,-1,-1,0,0
1,1,1,1,1,-1,-1,0,-1,0
1,1,1,1,1,-1,-1,0,0,-1
1,1,1,1,1,-1,0,-1,-1,0
1,1,1,1,1,-1,0,-1,0,-1
1,1,1,1,1,-1,0,0,-1,-1
1,1,1,1,1,0,-1,-1,-1,0
1,1,1,1,1,0,-1,-1,0,-1
1,1,1,1,1,0,-1,0,-1,-1
1,1,1,1,-1,1,-1,1,-1,-1
1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,-1,1,-1,-1,-1,1
1,1,1,1,-1,1,-1,-1,0,0
1,1,1,1,-1,1,-1,0,-1,0
1,1,1,1,-1,1,-1,0,0,-1
1,1,1,1,-1,1,0,-1,-1,0
1,1,1,1,-1,1,0,-1,0,-1
1,1,1,1,-1,1,0,0,-1,-1
1,1,1,1,-1,-1,1,1,-1,-1
1,1,1,1,-1,-1,1,-1,1,-1
1,1,1,1,-1,-1,1,-1,-1,1
1,1,1,1,-1,-1,1,-1,0,0
1,1,1,1,-1,-1,1,0,-1,0
1,1,1,1,-1,-1,1,0,0,-1
1,1,1,1,-1,-1,0,1,-1,0
1,1,1,1,-1,-1,0,1,0,-1
1,1,1,1,-1,-1,0,-1,1,0
1,1,1,1,-1,-1,0,-1,0,1
1,1,1,1,-1,-1,0,0,1,-1
1,1,1,1,-1,-1,0,0,-1,1
1,1,1,1,-1,-1,0,0,0,0
1,1,1,1,-1,0,1,-1,-1,0
1,1,1,1,-1,0,1,-1,0,-1
1,1,1,1,-1,0,1,0,-1,-1
1,1,1,1,-1,0,-1,1,-1,0
1,1,1,1,-1,0,-1,1,0,-1
1,1,1,1,-1,0,-1,-1,1,0
1,1,1,1,-1,0,-1,-1,0,1
1,1,1,1,-1,0,-1,0,1,-1
1,1,1,1,-1,0,-1,0,-1,1
1,1,1,1,-1,0,-1,0,0,0
1,1,1,1,-1,0,0,1,-1,-1
1,1,1,1,-1,0,0,-1,1,-1
1,1,1,1,-1,0,0,-1,-1,1
1,1,1,1,-1,0,0,-1,0,0
1,1,1,1,-1,0,0,0,-1,0
1,1,1,1,-1,0,0,0,0,-1
1,1,1,1,0,1,-1,-1,-1,0
1,1,1,1,0,1,-1,-1,0,-1
1,1,1,1,0,1,-1,0,-1,-1
1,1,1,1,0,-1,1,-1,-1,0
1,1,1,1,0,-1,1,-1,0,-1
1,1,1,1,0,-1,1,0,-1,-1
1,1,1,1,0,-1,-1,1,-1,0
1,1,1,1,0,-1,-1,1,0,-1
1,1,1,1,0,-1,-1,-1,1,0
1,1,1,1,0,-1,-1,-1,0,1
1,1,1,1,0,-1,-1,0,1,-1
1,1,1,1,0,-1,-1,0,-1,1
1,1,1,1,0,-1,-1,0,0,0
1,1,1,1,0,-1,0,1,-1,-1
1,1,1,1,0,-1,0,-1,1,-1
1,1,1,1,0,-1,0,-1,-1,1
1,1,1,1,0,-1,0,-1,0,0
1,1,1,1,0,-1,0,0,-1,0
1,1,1,1,0,-1,0,0,0,-1
1,1,1,1,0,0,-1,1,-1,-1
1,1,1,1,0,0,-1,-1,1,-1
1,1,1,1,0,0,-1,-1,-1,1
1,1,1,1,0,0,-1,-1,0,0
1,1,1,1,0,0,-1,0,-1,0
1,1,1,1,0,0,-1,0,0,-1
1,1,1,1,0,0,0,-1,-1,0
1,1,1,1,0,0,0,-1,0,-1
1,1,1,1,0,0,0,0,-1,-1
1,1,1,-1,1,1,-1,-1,-1,1
1,1,1,-1,1,-1,1,1,-1,-1
1,1,1,-1,1,-1,-1,1,-1,1
1,1,1,-1,1,-1,-1,1,0,0
1,1,1,-1,1,-1,0,1,-1,0
1,1,1,-1,1,-1,0,1,0,-1
1,1,1,-1,1,0,-1,1,-1,0
1,1,1,-1,1,0,0,1,-1,-1
1,1,1,-1,-1,1,1,-1,1,-1
1,1,1,-1,-1,1,1,-1,-1,1
1,1,1,-1,-1,1,-1,1,-1,1
1,1,1,-1,-1,1,-1,-1,1,1
1,1,1,-1,-1,1,-1,0,1,0
1,1,1,-1,-1,1,-1,0,0,1
1,1,1,-1,-1,1,0,-1,1,0
1,1,1,-1,-1,1,0,-1,0,1
1,1,1,-1,-1,1,0,0,1,-1
1,1,1,-1,-1,1,0,0,-1,1
1,1,1,-1,0,1,-1,-1,1,0
1,1,1,-1,0,1,-1,-1,0,1
1,1,1,-1,0,1,-1,0,-1,1
1,1,1,-1,0,1,0,-1,1,-1
1,1,1,-1,0,1,0,-1,-1,1
1,1,1,0,1,-1,-1,1,-1,0
1,1,1,0,1,-1,-1,1,0,-1
1,1,1,0,1,-1,0,1,-1,-1
1,1,1,0,1,0,-1,1,-1,-1
1,1,1,0,-1,1,-1,-1,1,0
1,1,1,0,-1,1,-1,-1,0,1
1,1,1,0,-1,1,-1,0,1,-1
1,1,1,0,-1,1,-1,0,-1,1
1,1,1,0,-1,1,0,-1,1,-1
1,1,1,0,-1,1,0,-1,-1,1
1,1,1,0,0,1,-1,-1,1,-1
1,1,1,0,0,1,-1,-1,-1,1
1,1,-1,1,1,1,-1,1,-1,-1
1,1,-1,1,1,1,-1,-1,-1,1
1,1,-1,1,1,-1,-1,1,1,-1
1,1,-1,1,1,-1,-1,1,0,0
1,1,-1,1,1,-1,0,1,0,-1
1,1,-1,1,1,0,-1,1,-1,0
1,1,-1,1,1,0,-1,1,0,-1
1,1,-1,1,1,0,0,1,-1,-1
1,1,-1,1,-1,1,1,1,-1,-1
1,1,-1,1,-1,1,1,-1,-1,1
1,1,-1,1,-1,1,-1,1,1,-1
1,1,-1,1,-1,1,-1,1,-1,1
1,1,-1,1,-1,1,-1,1,0,0
1,1,-1,1,-1,1,-1,-1,1,1
1,1,-1,1,-1,1,-1,0,0,1
1,1,-1,1,-1,1,0,1,-1,0
1,1,-1,1,-1,1,0,1,0,-1
1,1,-1,1,-1,1,0,-1,0,1
1,1,-1,1,-1,1,0,0,-1,1
1,1,-1,1,-1,-1,1,-1,1,1
1,1,-1,1,-1,-1,1,0,0,1
1,1,-1,1,-1,0,1,-1,0,1
1,1,-1,1,-1,0,1,0,-1,1
1,1,-1,1,0,1,-1,1,-1,0
1,1,-1,1,0,1,-1,1,0,-1
1,1,-1,1,0,1,-1,-1,0,1
1,1,-1,1,0,1,-1,0,-1,1
1,1,-1,1,0,1,0,1,-1,-1
1,1,-1,1,0,1,0,-1,-1,1
1,1,-1,1,0,-1,1,-1,0,1
1,1,-1,1,0,0,1,-1,-1,1
1,1,-1,-1,1,1,1,1,-1,-1
1,1,-1,-1,1,1,1,-1,1,-1
1,1,-1,-1,1,1,1,-1,-1,1
1,1,-1,-1,1,1,1,-1,0,0
1,1,-1,-1,1,1,1,0,-1,0
1,1,-1,-1,1,1,1,0,0,-1
1,1,-1,-1,1,1,-1,1,-1,1
1,1,-1,-1,1,1,-1,1,0,0
1,1,-1,-1,1,1,-1,-1,1,1
1,1,-1,-1,1,1,-1,0,0,1
1,1,-1,-1,1,1,0,1,-1,0
1,1,-1,-1,1,1,0,1,0,-1
1,1,-1,-1,1,1,0,-1,0,1
1,1,-1,-1,1,1,0,0,-1,1
1,1,-1,-1,1,-1,1,1,1,-1
1,1,-1,-1,1,-1,1,1,0,0
1,1,-1,-1,1,-1,-1,1,1,1
1,1,-1,-1,1,-1,0,1,1,0
1,1,-1,-1,1,-1,0,1,0,1
1,1,-1,-1,1,0,1,1,-1,0
1,1,-1,-1,1,0,1,1,0,-1
1,1,-1,-1,1,0,-1,1,1,0
1,1,-1,-1,1,0,-1,1,0,1
1,1,-1,-1,1,0,0,1,1,-1
1,1,-1,-1,1,0,0,1,-1,1
1,1,-1,-1,1,0,0,1,0,0
1,1,-1,-1,-1,1,1,1,-1,1
1,1,-1,-1,-1,1,1,-1,1,1
1,1,-1,-1,-1,1,1,0,0,1
1,1,-1,-1,-1,1,-1,1,1,1
1,1,-1,-1,-1,1,0,1,0,1
1,1,-1,-1,-1,1,0,0,1,1
1,1,-1,-1,-1,-1,1,1,1,1
1,1,-1,-1,-1,0,0,1,1,1
1,1,-1,-1,0,1,1,-1,0,1
1,1,-1,-1,0,1,1,0,-1,1
1,1,-1,-1,0,1,-1,1,0,1
1,1,-1,-1,0,1,-1,0,1,1
1,1,-1,-1,0,1,0,1,-1,1
1,1,-1,-1,0,1,0,-1,1,1
1,1,-1,-1,0,1,0,0,0,1
1,1,-1,-1,0,-1,0,1,1,1
1,1,-1,-1,0,0,-1,1,1,1
1,1,-1,0,1,1,1,-1,-1,0
1,1,-1,0,1,1,1,-1,0,-1
1,1,-1,0,1,1,1,0,-1,-1
1,1,-1,0,1,1,-1,1,-1,0
1,1,-1,0,1,1,-1,1,0,-1
1,1,-1,0,1,1,-1,-1,0,1
1,1,-1,0,1,1,-1,0,-1,1
1,1,-1,0,1,1,0,1,-1,-1
1,1,-1,0,1,1,0,-1,-1,1
1,1,-1,0,1,-1,1,1,0,-1
1,1,-1,0,1,-1,-1,1,1,0
1,1,-1,0,1,-1,-1,1,0,1
1,1,-1,0,1,-1,0,1,1,-1
1,1,-1,0,1,-1,0,1,0,0
1,1,-1,0,1,0,1,1,-1,-1
1,1,-1,0,1,0,-1,1,1,-1
1,1,-1,0,1,0,-1,1,-1,1
1,1,-1,0,1,0,-1,1,0,0
1,1,-1,0,1,0,0,1,-1,0
1,1,-1,0,1,0,0,1,0,-1
1,1,-1,0,-1,1,1,-1,0,1
1,1,-1,0,-1,1,1,0,-1,1
1,1,-1,0,-1,1,-1,1,0,1
1,1,-1,0,-1,1,-1,0,1,1
1,1,-1,0,-1,1,0,1,-1,1
1,1,-1,0,-1,1,0,-1,1,1
1,1,-1,0,-1,1,0,0,0,1
1,1,-1,0,-1,-1,0,1,1,1
1,1,-1,0,-1,0,-1,1,1,1
1,1,-1,0,0,1,1,-1,-1,1
1,1,-1,0,0,1,-1,1,-1,1
1,1,-1,0,0,1,-1,-1,1,1
1,1,-1,0,0,1,-1,0,0,1
1,1,-1,0,0,1,0,-1,0,1
1,1,-1,0,0,1,0,0,-1,1
1,1,-1,0,0,-1,-1,1,1,1
1,1,0,1,1,-1,-1,1,-1,0
1,1,0,1,1,-1,-1,1,0,-1
1,1,0,1,1,-1,0,1,-1,-1
1,1,0,1,1,0,-1,1,-1,-1
1,1,0,1,-1,1,-1,1,-1,0
1,1,0,1,-1,1,-1,1,0,-1
1,1,0,1,-1,1,-1,-1,0,1
1,1,0,1,-1,1,-1,0,-1,1
1,1,0,1,-1,1,0,1,-1,-1
1,1,0,1,-1,1,0,-1,-1,1
1,1,0,1,-1,-1,1,-1,0,1
1,1,0,1,-1,-1,1,0,-1,1
1,1,0,1,-1,0,1,-1,-1,1
1,1,0,1,0,1,-1,1,-1,-1
1,1,0,1,0,1,-1,-1,-1,1
1,1,0,1,0,-1,1,-1,-1,1
1,1,0,-1,1,1,1,-1,-1,0
1,1,0,-1,1,1,1,-1,0,-1
1,1,0,-1,1,1,1,0,-1,-1
1,1,0,-1,1,1,-1,1,-1,0
1,1,0,-1,1,1,-1,-1,0,1
1,1,0,-1,1,1,-1,0,-1,1
1,1,0,-1,1,1,0,1,-1,-1
1,1,0,-1,1,1,0,-1,-1,1
1,1,0,-1,1,-1,1,1,-1,0
1,1,0,-1,1,-1,1,1,0,-1
1,1,0,-1,1,-1,-1,1,1,0
1,1,0,-1,1,-1,-1,1,0,1
1,1,0,-1,1,-1,0,1,1,-1
1,1,0,-1,1,-1,0,1,-1,1
1,1,0,-1,1,-1,0,1,0,0
1,1,0,-1,1,0,1,1,-1,-1
1,1,0,-1,1,0,-1,1,-1,1
1,1,0,-1,1,0,-1,1,0,0
1,1,0,-1,1,0,0,1,-1,0
1,1,0,-1,1,0,0,1,0,-1
1,1,0,-1,-1,1,1,-1,0,1
1,1,0,-1,-1,1,1,0,-1,1
1,1,0,-1,-1,1,-1,1,0,1
1,1,0,-1,-1,1,-1,0,1,1
1,1,0,-1,-1,1,0,1,-1,1
1,1,0,-1,-1,1,0,-1,1,1
1,1,0,-1,-1,1,0,0,0,1
1,1,0,-1,-1,-1,0,1,1,1
1,1,0,-1,-1,0,-1,1,1,1
1,1,0,-1,0,1,1,-1,-1,1
1,1,0,-1,0,1,-1,1,-1,1
1,1,0,-1,0,1,-1,-1,1,1
1,1,0,-1,0,1,-1,0,0,1
1,1,0,-1,0,1,0,-1,0,1
1,1,0,-1,0,1,0,0,-1,1
1,1,0,-1,0,-1,-1,1,1,1
1,1,0,0,1,1,-1,1,-1,-1
1,1,0,0,1,1,-1,-1,-1,1
1,1,0,0,1,-1,1,1,-1,-1
1,1,0,0,1,-1,-1,1,1,-1
1,1,0,0,1,-1,-1,1,-1,1
1,1,0,0,1,-1,-1,1,0,0
1,1,0,0,1,-1,0,1,-1,0
1,1,0,0,1,-1,0,1,0,-1
1,1,0,0,1,0,-1,1,-1,0
1,1,0,0,1,0,-1,1,0,-1
1,1,0,0,1,0,0,1,-1,-1
1,1,0,0,-1,1,1,-1,-1,1
1,1,0,0,-1,1,-1,1,-1,1
1,1,0,0,-1,1,-1,-1,1,1
1,1,0,0,-1,1,-1,0,0,1
1,1,0,0,-1,1,0,-1,0,1
1,1,0,0,-1,1,0,0,-1,1
1,1,0,0,0,1,-1,-1,0,1
1,1,0,0,0,1,-1,0,-1,1
1,1,0,0,0,1,0,-1,-1,1
1,-1,1,1,1,1,-1,1,-1,-1
1,-1,1,1,1,1,-1,-1,1,-1
1,-1,1,1,1,-1,1,-1,-1,1
1,-1,1,1,-1,1,1,1,-1,-1
1,-1,1,1,-1,1,-1,1,1,-1
1,-1,1,1,-1,1,-1,1,-1,1
1,-1,1,1,-1,1,-1,1,0,0
1,-1,1,1,-1,1,-1,0,1,0
1,-1,1,1,-1,1,0,1,-1,0
1,-1,1,1,-1,1,0,1,0,-1
1,-1,1,1,-1,1,0,0,1,-1
1,-1,1,1,-1,-1,1,1,-1,1
1,-1,1,1,-1,-1,1,0,0,1
1,-1,1,1,-1,0,1,0,-1,1
1,-1,1,1,0,1,-1,1,-1,0
1,-1,1,1,0,1,-1,1,0,-1
1,-1,1,1,0,1,-1,-1,1,0
1,-1,1,1,0,1,-1,0,1,-1
1,-1,1,1,0,1,0,1,-1,-1
1,-1,1,1,0,1,0,-1,1,-1
1,-1,1,1,0,-1,1,-1,0,1
1,-1,1,1,0,-1,1,0,-1,1
1,-1,1,1,0,0,1,-1,-1,1
1,-1,1,-1,1,1,1,1,-1,-1
1,-1,1,-1,1,1,1,-1,1,-1
1,-1,1,-1,1,1,1,-1,-1,1
1,-1,1,-1,1,1,1,-1,0,0
1,-1,1,-1,1,1,1,0,-1,0
1,-1,1,-1,1,1,1,0,0,-1
1,-1,1,-1,1,1,-1,-1,1,1
1,-1,1,-1,1,1,-1,0,1,0
1,-1,1,-1,1,1,0,-1,1,0
1,-1,1,-1,1,1,0,0,1,-1
1,-1,1,-1,1,-1,-1,1,1,1
1,-1,1,-1,-1,1,1,1,1,-1
1,-1,1,-1,-1,1,1,0,1,0
1,-1,1,-1,-1,1,-1,1,1,1
1,-1,1,-1,-1,1,0,1,1,0
1,-1,1,-1,-1,1,0,0,1,1
1,-1,1,-1,-1,-1,1,1,1,1
1,-1,1,-1,-1,0,0,1,1,1
1,-1,1,-1,0,1,1,-1,1,0
1,-1,1,-1,0,1,1,0,1,-1
1,-1,1,-1,0,1,-1,1,1,0
1,-1,1,-1,0,1,-1,0,1,1
1,-1,1,-1,0,1,0,1,1,-1
1,-1,1,-1,0,1,0,-1,1,1
1,-1,1,-1,0,1,0,0,1,0
1,-1,1,-1,0,-1,0,1,1,1
1,-1,1,-1,0,0,-1,1,1,1
1,-1,1,0,1,1,1,-1,-1,0
1,-1,1,0,1,1,1,-1,0,-1
1,-1,1,0,1,1,1,0,-1,-1
1,-1,1,0,1,1,-1,-1,1,0
1,-1,1,0,1,1,-1,0,1,-1
1,-1,1,0,1,1,0,-1,1,-1
1,-1,1,0,-1,1,1,0,1,-1
1,-1,1,0,-1,1,-1,1,1,0
1,-1,1,0,-1,1,-1,0,1,1
1,-1,1,0,-1,1,0,1,1,-1
1,-1,1,0,-1,1,0,0,1,0
1,-1,1,0,-1,-1,0,1,1,1
1,-1,1,0,-1,0,-1,1,1,1
1,-1,1,0,0,1,1,-1,1,-1
1,-1,1,0,0,1,-1,1,1,-1
1,-1,1,0,0,1,-1,-1,1,1
1,-1,1,0,0,1,-1,0,1,0
1,-1,1,0,0,1,0,-1,1,0
1,-1,1,0,0,1,0,0,1,-1
1,-1,1,0,0,-1,-1,1,1,1
1,-1,-1,1,1,1,1,1,-1,-1
1,-1,-1,1,1,1,1,-1,1,-1
1,-1,-1,1,1,1,1,-1,-1,1
1,-1,-1,1,1,1,1,-1,0,0
1,-1,-1,1,1,1,1,0,-1,0
1,-1,-1,1,1,1,1,0,0,-1
1,-1,-1,1,1,1,-1,1,1,-1
1,-1,-1,1,1,1,-1,1,-1,1
1,-1,-1,1,1,1,-1,1,0,0
1,-1,-1,1,1,1,0,1,-1,0
1,-1,-1,1,1,1,0,1,0,-1
1,-1,-1,1,1,-1,1,-1,1,1
1,-1,-1,1,1,-1,1,0,0,1
1,-1,-1,1,1,-1,-1,1,1,1
1,-1,-1,1,1,0,1,-1,0,1
1,-1,-1,1,1,0,1,0,-1,1
1,-1,-1,1,-1,1,1,1,1,-1
1,-1,-1,1,-1,1,1,1,-1,1
1,-1,-1,1,-1,1,1,1,0,0
1,-1,-1,1,-1,1,1,0,0,1
1,-1,-1,1,-1,1,-1,1,1,1
1,-1,-1,1,-1,1,0,1,1,0
1,-1,-1,1,-1,1,0,1,0,1
1,-1,-1,1,-1,-1,1,1,1,1
1,-1,-1,1,-1,0,1,1,0,1
1,-1,-1,1,-1,0,1,0,1,1
1,-1,-1,1,-1,0,0,1,1,1
1,-1,-1,1,0,1,1,1,-1,0
1,-1,-1,1,0,1,1,1,0,-1
1,-1,-1,1,0,1,1,-1,0,1
1,-1,-1,1,0,1,1,0,-1,1
1,-1,-1,1,0,1,-1,1,1,0
1,-1,-1,1,0,1,-1,1,0,1
1,-1,-1,1,0,1,0,1,1,-1
1,-1,-1,1,0,1,0,1,-1,1
1,-1,-1,1,0,1,0,1,0,0
1,-1,-1,1,0,-1,1,1,0,1
1,-1,-1,1,0,-1,1,0,1,1
1,-1,-1,1,0,-1,0,1,1,1
1,-1,-1,1,0,0,1,1,-1,1
1,-1,-1,1,0,0,1,-1,1,1
1,-1,-1,1,0,0,1,0,0,1
1,-1,-1,1,0,0,-1,1,1,1
1,-1,-1,0,1,1,1,1,-1,0
1,-1,-1,0,1,1,1,1,0,-1
1,-1,-1,0,1,1,1,-1,1,0
1,-1,-1,0,1,1,1,-1,0,1
1,-1,-1,0,1,1,1,0,1,-1
1,-1,-1,0,1,1,1,0,-1,1
1,-1,-1,0,1,1,1,0,0,0
1,-1,-1,0,1,-1,0,1,1,1
1,-1,-1,0,1,0,-1,1,1,1
1,-1,-1,0,-1,1,0,1,1,1
1,-1,-1,0,-1,0,1,1,1,1
1,-1,-1,0,0,1,-1,1,1,1
1,-1,-1,0,0,-1,1,1,1,1
1,-1,-1,0,0,0,0,1,1,1
1,-1,0,1,1,1,1,-1,-1,0
1,-1,0,1,1,1,1,-1,0,-1
1,-1,0,1,1,1,1,0,-1,-1
1,-1,0,1,1,1,-1,1,-1,0
1,-1,0,1,1,1,-1,1,0,-1
1,-1,0,1,1,1,0,1,-1,-1
1,-1,0,1,1,-1,1,-1,0,1
1,-1,0,1,1,-1,1,0,-1,1
1,-1,0,1,1,0,1,-1,-1,1
1,-1,0,1,-1,1,1,1,-1,0
1,-1,0,1,-1,1,1,1,0,-1
1,-1,0,1,-1,1,1,0,-1,1
1,-1,0,1,-1,1,-1,1,1,0
1,-1,0,1,-1,1,-1,1,0,1
1,-1,0,1,-1,1,0,1,1,-1
1,-1,0,1,-1,1,0,1,-1,1
1,-1,0,1,-1,1,0,1,0,0
1,-1,0,1,-1,-1,1,1,0,1
1,-1,0,1,-1,-1,1,0,1,1
1,-1,0,1,-1,-1,0,1,1,1
1,-1,0,1,-1,0,1,1,-1,1
1,-1,0,1,-1,0,1,0,0,1
1,-1,0,1,-1,0,-1,1,1,1
1,-1,0,1,0,1,1,1,-1,-1
1,-1,0,1,0,1,1,-1,-1,1
1,-1,0,1,0,1,-1,1,1,-1
1,-1,0,1,0,1,-1,1,-1,1
1,-1,0,1,0,1,-1,1,0,0
1,-1,0,1,0,1,0,1,-1,0
1,-1,0,1,0,1,0,1,0,-1
1,-1,0,1,0,-1,1,1,-1,1
1,-1,0,1,0,-1,1,-1,1,1
1,-1,0,1,0,-1,1,0,0,1
1,-1,0,1,0,-1,-1,1,1,1
1,-1,0,1,0,0,1,-1,0,1
